b'id',b'created_at',b'retweet_count',b'text',Sentiment,ProbPos,ProbNeg,StockDate
723144542682144768,2016-04-21 13:41:09,4,b'Jobless claims print new all-time low relative to employment: https://t.co/djVdCHSwPM  $SPY $$',pos,0.603,0.397,2016-04-22
723126698527604736,2016-04-21 12:30:14,4,b'US initial jobless claims 247k vs 265k expected.',neg,0.4874,0.5126,2016-04-22
723102775890997248,2016-04-21 10:55:11,3,"b'A Bespoke ""Death by Uber"" index can\'t be too far away.  https://t.co/nHYGl6BZgF'",neg,0.2501,0.7499,2016-04-22
723096697082015745,2016-04-21 10:31:01,2,"b'Guessing @georgepearkes will appreciate ""Canadian Exceptionalism""  https://t.co/B5kuxlxneb'",pos,0.8847,0.1153,2016-04-22
722952749760012288,2016-04-21 00:59:02,7,b'Interesting insights on robo advisors including great work from our friend @MebFaber https://t.co/6nVxZMYDMK',pos,0.9895,0.0105,2016-04-21
722864455487528960,2016-04-20 19:08:11,4,"b'This is the best year ever for Telecoms relative to the S&amp;P 500 since at least 1991 after 75 trading days.  +9.4%. 2nd best was 1993, +8.4%.'",neg,0.3451,0.6549,2016-04-21
722859085788528641,2016-04-20 18:46:50,10,b'Distance from new all-time highs for the S&amp;P 500:\nIntraday 1.19%\nClosing 1.00%',neg,0.2599,0.7401,2016-04-21
722813054682021888,2016-04-20 15:43:56,22,b'Oil commentary:\nFriday: If no deal in Doha look out below.\nMonday: Rebound only because of Kuwait strike.\nWednesday: https://t.co/JGi9ex0aq8',neg,0.1034,0.8966,2016-04-21
722811274736771074,2016-04-20 15:36:51,4,"b'Oil reverses higher, now up on the day.'",pos,0.5303,0.4697,2016-04-21
722799766590070785,2016-04-20 14:51:07,15,"b'US crude production ticks lower again, second week in a row below 9mm bbl/day based on weekly data. https://t.co/NjFnmUfaZr'",neg,0.0878,0.9122,2016-04-21
722768025003237376,2016-04-20 12:45:00,15,b'Breakdown of costs involved in producing oil across different countries. https://t.co/y5WXht58RS https://t.co/FO1f9DSaPJ',neg,0.0665,0.9335,2016-04-21
722537724838866944,2016-04-19 21:29:52,0,"b""@John_Arndt You're right, good catch...$XLB""",pos,0.8857,0.1143,2016-04-20
722536947202322432,2016-04-19 21:26:46,4,b'Materials sector took out top of sideways range today: $XHB $SPY $$ https://t.co/vkwfGNcDG3',pos,0.7779,0.2221,2016-04-20
722536595044306944,2016-04-19 21:25:22,7,b'S&amp;P 500 looking like it wants to break out: $SPY $$ https://t.co/rjE3L0uNqo',neg,0.0025,0.9975,2016-04-20
722531843216666625,2016-04-19 21:06:30,6,"b'For Illumina, $130 is a pretty significant support level. $ILMN https://t.co/4TlAYrAOcY'",pos,0.6404,0.3596,2016-04-20
722512351044493313,2016-04-19 19:49:02,2,b'First three earnings triple plays of the season today -- $IEX $TTS and $UNH.  https://t.co/iMQoAjbJNL',pos,0.8825,0.1175,2016-04-20
722503362403516416,2016-04-19 19:13:19,1,"b""Here's a link to this morning's CNBC segment with Paul Hickey. https://t.co/WdAdkc5tkt""",neg,0.4295,0.5705,2016-04-20
722494791695605761,2016-04-19 18:39:16,7,"b""Netflix $NFLX has had 24 earnings reports since its IPO in '02 where it fell 5%+ on the day.  Amazing given that it's up 10,000%+.""",pos,0.9674,0.0326,2016-04-20
722486759708323840,2016-04-19 18:07:21,1,"b""Here's how $NFLX has done in the weeks and months following big earnings reaction day drops: https://t.co/5URcDQfXPp""",pos,0.6951,0.3049,2016-04-20
722482508693118977,2016-04-19 17:50:27,15,b'High yield ETF is above its 200-DMA for the first time since 10/30/14. Last close above 200-DMA was 9/2/14. $HYG https://t.co/UnqEmX7viw',neg,0.2,0.8,2016-04-20
722472704566292480,2016-04-19 17:11:30,3,"b'If Financials close above 200-DMA today, all ten sectors will be back above.  More analysis to come.'",neg,0.0496,0.9504,2016-04-20
722472589873037312,2016-04-19 17:11:02,4,"b""Haven't had all ten sectors above 200-DMAs since September 2014.  Third longest streak since 1990.  Speaks to weakness in breadth...""",neg,0.1203,0.8797,2016-04-20
722465678696062977,2016-04-19 16:43:35,3,"b""$NFLX's average move on earnings is +/-13.8% so today's vol for the stock is actually lower than normal.  https://t.co/DmKybu72jK""",neg,0.2825,0.7175,2016-04-20
722464815432802305,2016-04-19 16:40:09,2,"b""As of now this is $IBM's 4th biggest one-day drop following earnings since 2001 (when our earnings database begins).""",neg,0.3143,0.6857,2016-04-20
722455893103747072,2016-04-19 16:04:42,5,"b'At the moment, Financial sector back above 200-day.  All 10 sectors back above 200-days if it holds.  $XLF $SPY $$'",pos,0.5949,0.4051,2016-04-20
722443239215775744,2016-04-19 15:14:25,3,b'Chevron $CVX trading above $100 today for the first time since 6/24/15.',pos,0.5878,0.4122,2016-04-20
722440435013197824,2016-04-19 15:03:16,3,"b'Investors moving out of Tech and into Energy, Materials, Financials and Industrials today.'",neg,0.363,0.637,2016-04-20
722420596500492288,2016-04-19 13:44:26,3,b'Housing Starts miss by a mile.  https://t.co/1r4uRc2PQn',neg,0.4672,0.5328,2016-04-20
722410003987046402,2016-04-19 13:02:21,14,b'Building Permits in March missed expectations by the widest margin since at least 2002. $XHB $ITB https://t.co/3O5NdPHC31',pos,0.7119,0.2881,2016-04-20
722393523220258816,2016-04-19 11:56:52,4,b'RT @jonnajarian: $GS Annual Compensation &amp; benefits expenses $2.66B down 40% year/year @HalftimeReport https://t.co/4bNayuEhJ4',neg,0.1171,0.8829,2016-04-20
722392097827848192,2016-04-19 11:51:12,1,"b""Learn more about our MTM (market timing model) with a free research trial.  It's in our daily Closer report. https://t.co/U2dgcIulqO""",pos,0.5787,0.4213,2016-04-20
722391655060520960,2016-04-19 11:49:26,5,"b'Sentiment readings mostly pointed lower while technical readings pointed higher, from our MTM: https://t.co/YodmYyvj6G'",neg,0.3401,0.6599,2016-04-20
722378512632516608,2016-04-19 10:57:13,0,b'@ProposUtiles @TheStalwart 200-DMA was not rising last December. So only count when both are rising.',neg,0.1657,0.8343,2016-04-20
722373622501941248,2016-04-19 10:37:47,1,"b""Be sure to check out Bespoke's @PaulHickey on @SquawkCNBC today at 7:10am.""",neg,0.2174,0.7826,2016-04-20
722177699599540224,2016-04-18 21:39:15,4,b'IBM $IBM set to open lower following its 11th straight earnings report.  From our Interactive Earnings Database: https://t.co/jpjLYEXHtu',pos,0.808,0.192,2016-04-19
722171391697661954,2016-04-18 21:14:11,2,"b'Today\'s Bespoke Chart of the Day looks at the upcoming ""Golden Cross"" for the Dow: https://t.co/uwe6ZcS4gy  $DIA $$'",neg,0.2775,0.7225,2016-04-19
722153019551387650,2016-04-18 20:01:11,10,b'Russell 2000 just ended its fourth longest streak of trading below the 200-DMA. $IWM https://t.co/4D4KJbONEz https://t.co/nT1kZhc4lD',neg,0.1231,0.8769,2016-04-19
722149258363854849,2016-04-18 19:46:14,5,b'Oil now up 3% since the equity market open this morning.',neg,0.4992,0.5008,2016-04-19
722142265670504448,2016-04-18 19:18:27,4,"b""Here's a look at Netflix's $NFLX last six April (Q1) earnings reports.  Up on earnings reaction day 4 of 6 times. https://t.co/TgW3mHVgRR""",neg,0.3788,0.6212,2016-04-19
722130872485474305,2016-04-18 18:33:11,4,b'Netflix $NFLX has broken above its intraday downtrend with 90 minutes left in the trading day: https://t.co/QYwwisd2s9',neg,0.0277,0.9723,2016-04-19
722092655283412993,2016-04-18 16:01:19,3,b'Just added an Industrial and Technology stock to the Bespoke Model Portfolio.  Become a member to see which ones: https://t.co/E4ZftsxlZy',pos,0.9742,0.0258,2016-04-19
722079714182082560,2016-04-18 15:09:54,7,b'Energy sector ETF $XLE flying off its opening lows: https://t.co/AQrALRUGqY',neg,0.0881,0.9119,2016-04-19
722078811572060160,2016-04-18 15:06:18,3,"b'Disney $DIS breaking back above $100 this morning, which has been a tough resistance level over the last couple of months.'",neg,0.0375,0.9625,2016-04-19
722074215386640384,2016-04-18 14:48:03,2,b'$IBM has gapped down after its last ten earnings reports. From our earnings report database: https://t.co/56jLX5KhEv https://t.co/kDXTfYdNCJ',neg,0.4082,0.5918,2016-04-19
722073308146057220,2016-04-18 14:44:26,3,b'Alphabet $GOOGL now within 1% of a new all-time closing high.',neg,0.1373,0.8627,2016-04-19
722063357596024832,2016-04-18 14:04:54,6,b'Time to rewrite all those headlines. $SPY https://t.co/5aon33ha4M',neg,0.4411,0.5589,2016-04-19
722056410100600832,2016-04-18 13:37:17,4,"b""Nearly all markets around the world are trading overbought but not excessively so. Bespoke's country trading screen: https://t.co/E6K19kS8Mb""",neg,0.4794,0.5206,2016-04-19
722053672704811012,2016-04-18 13:26:25,2,"b'Homebuilder sentiment early? 58, unchanged, versus 59 expected.'",pos,0.9598,0.0402,2016-04-19
722047693829353472,2016-04-18 13:02:39,8,b'Six-month candle and 15-day intraday charts of key asset classes this AM: $SPY $QQQ $IWM $GLD $USO $TLT https://t.co/HgFXuq34qF',pos,0.9422,0.0578,2016-04-19
722046499203457024,2016-04-18 12:57:55,5,"b""We tweeted earlier that Brazil $EWZ was up 2% pre-market -- now it's down 1%+.  Looks like a wild ride set for today.""",neg,0.274,0.726,2016-04-19
722033357517889536,2016-04-18 12:05:41,8,"b""Brazil ETF $EWZ set to open up 2% after congressional vote to impeach Workers' Party President Dilma Rousseff: https://t.co/D2OXzKPDu2""",neg,0.4073,0.5927,2016-04-19
722031842304524288,2016-04-18 11:59:40,2,b'Monday AM is a great time to start a Bespoke research trial.  Get our Morning Lineup due out shortly.  https://t.co/U2dgcIulqO',pos,0.8916,0.1084,2016-04-19
722031348949626880,2016-04-18 11:57:42,4,b'Both Pepsi $PEP and Morgan Stanley $MS trading up on earnings this AM.  The list of key stocks to watch this week: https://t.co/EfjjrjtuFT',pos,0.9064,0.0936,2016-04-19
721677362174099457,2016-04-17 12:31:05,7,"b'In Brunch Reads this week: good news, bad news, European eccentricity, cheese, taxes &amp; tax breaks, trade and more.\nhttps://t.co/d2hcBnKQIe'",neg,0.1221,0.8779,2016-04-18
721323951520092161,2016-04-16 13:06:46,7,b'Love seeing our work in @barronsonline over Saturday morning coffee. Thanks! https://t.co/XdePzXDTwe',pos,0.5006,0.4994,2016-04-17
721297414888550405,2016-04-16 11:21:19,1,b'But can (will) they cut or freeze production? https://t.co/LKfZvbF7aG',pos,0.5395,0.4605,2016-04-17
721294425855565824,2016-04-16 11:09:26,3,b'Catch up on everything market related this week by checking out the latest BESPOKE REPORT. https://t.co/EUn5QlarhD https://t.co/hbrIp6Ebac',pos,0.9712,0.0288,2016-04-17
721073956049068032,2016-04-15 20:33:22,3,"b""Be sure to check out Bespoke's George Pearkes on Bloomberg @BloombergTV with @TheStalwart around 4:40 PM ET.  @georgepearkes""",neg,0.0995,0.9005,2016-04-16
721071501030592513,2016-04-15 20:23:37,6,"b""Today's Chart of the Day looks at a new bull market high in an important breadth indicator: https://t.co/pWediDo029  $SPY $$""",pos,0.9486,0.0514,2016-04-16
721051409148461056,2016-04-15 19:03:47,3,"b'Both $AMZN and the S&amp;P 1500 have outperformed the Bespoke ""Death by Amazon"" index over the last four years: https://t.co/WPoL5HU1kI'",pos,0.8229,0.1771,2016-04-16
721051043094753280,2016-04-15 19:02:19,5,"b""Here's a list of the 50 largest stocks set to report EPS next week, with key beat rate and price chg data included: https://t.co/EfjjrjtuFT""",pos,0.9977,0.0023,2016-04-16
721041696243523587,2016-04-15 18:25:11,5,b'Citigroup $C now down on the day after opening up 3.5% on earnings.',neg,0.4523,0.5477,2016-04-16
720956770399559680,2016-04-15 12:47:43,2,b'Our weekly Bespoke Report newsletter is due out this afternoon.  Check it out with a free trial.  https://t.co/Iz6aptf16p',pos,0.9839,0.0161,2016-04-16
720732257296773120,2016-04-14 21:55:35,1,b'Thanks @stephenLweiss! https://t.co/woORWOzPv2',pos,0.5374,0.4626,2016-04-15
720717550204485634,2016-04-14 20:57:08,1,"b""Just published this week's Sector Snapshot.  Start a 14-day free trial (no credit card needed) to view. https://t.co/U2dgcIulqO""",neg,0.1982,0.8018,2016-04-15
720715633365819393,2016-04-14 20:49:31,7,b'The hot new algo must be repeating letter tickers. Top two S&amp;P 1500 performers today: $DDD and $CCC. Both up 10.12% https://t.co/FnPHOId4tj',neg,0.2532,0.7468,2016-04-15
720675631676198912,2016-04-14 18:10:34,9,b'S&amp;P 500 trailing 12-month P/E ratio is at a new 6-year high today: https://t.co/IOGBFXNI0W  $SPY $$',neg,0.1697,0.8303,2016-04-15
720672863406198785,2016-04-14 17:59:34,3,b'Have to give Deutsche Bank credit for well timed downgrade of $STX yesterday. Stock down 19% today.',pos,0.5548,0.4452,2016-04-15
720641069873029120,2016-04-14 15:53:14,4,"b""Just published this week's Bespoke 50 list of top growth stocks in the Russell 3,000: https://t.co/fsNxjg3wUq""",pos,0.8834,0.1166,2016-04-15
720639917139828737,2016-04-14 15:48:39,8,b'S&amp;P 500 needs to gain another 2.2% to make a new all-time high.  $SPY $$',neg,0.0231,0.9769,2016-04-15
720639533126127616,2016-04-14 15:47:08,3,"b""Visit https://t.co/oAfgnedMdP if you're interested in Bespoke's quarterly social media advertisers survey.  $FB $LNKD $TWTR""",pos,0.6293,0.3707,2016-04-15
720620280796811264,2016-04-14 14:30:38,5,"b'RT @Bespoke_Weather: NAT GAS EIA DATA HIT: -3 bcf net implied flow for wk ending Apr 8 vs. BWS estimate of -1 bcf, market estimates from -3\xe2\x80\xa6'",neg,0.1027,0.8973,2016-04-15
720611962430873601,2016-04-14 13:57:34,9,"b""What's worse? Motor Trend's vision of the Apple Car or the The Homer? https://t.co/FoOflhpY8W""",neg,0.4424,0.5576,2016-04-15
720610474551861249,2016-04-14 13:51:40,2,b'When you burn nearly 4 billion gallons of fuel per year that really adds up! https://t.co/3ZO9rRGmIY',neg,0.1913,0.8087,2016-04-15
720603286076788738,2016-04-14 13:23:06,4,"b""Whether you look seasonally or non seasonally adjusted, jobless claims haven't been lower since 1973. https://t.co/Tjmay3LzMg""",neg,0.1211,0.8789,2016-04-15
720577654534074368,2016-04-14 11:41:15,12,"b'Only sectors down this month are defensives, but they are still outperforming YTD. $XLU $XLP https://t.co/1xLtfWYjaN https://t.co/NpxEVkicrN'",neg,0.2998,0.7002,2016-04-15
720347121111605248,2016-04-13 20:25:11,2,"b""In today's Chart of the Day, we write about a lost generation of individual investors: https://t.co/KoFI2v70cc  $SPY $$""",neg,0.271,0.729,2016-04-14
720335302028587008,2016-04-13 19:38:13,6,"b'This kind of intraday volatility is pretty common, just not for $300 billion companies. $FB https://t.co/QQibzFyi5h'",neg,0.0264,0.9736,2016-04-14
720297637375643648,2016-04-13 17:08:33,9,"b'Russia has broken out to 9-month highs.  Check out the longer-term downtrend, though: https://t.co/ocJJCJK2ef https://t.co/Hejg1Fd2mu'",pos,0.6491,0.3509,2016-04-14
720297235947229185,2016-04-13 17:06:58,4,"b""India's Sensex showing short-term strength but faces longer-term challenge.  The charts: https://t.co/y3DnUQrawg https://t.co/aZCXtUNP3R""",pos,0.7777,0.2223,2016-04-14
720286237009928194,2016-04-13 16:23:15,3,"b""Brazil's stock market now up 3%+ 2 days in a row, up 45% off the low.  Here's short and long-term chart of Ibovespa: https://t.co/APLc65Ujrv""",neg,0.0032,0.9968,2016-04-14
720281379993292800,2016-04-13 16:03:57,2,"b""Here's a snapshot of this month's Retail Sales release: https://t.co/jHSqFSmDdo  $XLY $RTH $$""",neg,0.3616,0.6384,2016-04-14
720280975855386624,2016-04-13 16:02:21,8,b'Big negative reversal for Facebook $FB intraday.  Down $3.80 from $112.60 to $108.80.  https://t.co/RVbMr8czzC',neg,0.036,0.964,2016-04-14
720280214471725060,2016-04-13 15:59:19,15,b'Crude oil inventories rose nearly 7x more than expected this week: https://t.co/f3sTFj823t  $USO $OIL $$ https://t.co/qHJ5cxd8uz',neg,0.2818,0.7182,2016-04-14
720278616957788160,2016-04-13 15:52:59,6,"b""Here's a look at 6-month, 1-year and 5-year price charts of China's Shanghai Composite: https://t.co/MdZqR3fqWt https://t.co/pQH33jYUsw""",pos,0.8543,0.1457,2016-04-14
720272463779618817,2016-04-13 15:28:32,2,"b""In case you missed it, here's a link to  @CNBCFastMoney segment.  https://t.co/cVElS0dadm""",pos,0.6575,0.3425,2016-04-14
720269658419384321,2016-04-13 15:17:23,5,"b'Taking a favorite report about education out from behind paywall.  Read, share and RT: https://t.co/ddPlK7u7QT https://t.co/HshZoTgB4N'",pos,0.9042,0.0958,2016-04-14
720235619537055744,2016-04-13 13:02:07,2,b'Calls like this were few and far between a couple months ago. https://t.co/sdWsyXxPXR',pos,0.5672,0.4328,2016-04-14
720234946510589957,2016-04-13 12:59:27,6,"b""Here's a look at current market internals, from today's Bespoke Morning Lineup: https://t.co/1bPXtMHTcd $$ https://t.co/JRAg4b446Z""",neg,0.1795,0.8205,2016-04-14
720234105976307712,2016-04-13 12:56:06,2,"b""Our equity futures tracker...straight up overnight.  From today's Morning Lineup: https://t.co/1bPXtMHTcd https://t.co/QaingJllUZ""",pos,0.9184,0.0816,2016-04-14
720233470212104192,2016-04-13 12:53:35,3,"b""Highlights from today's Morning Lineup: https://t.co/1bPXtMHTcd https://t.co/4909DHhI8R""",pos,0.6637,0.3363,2016-04-14
719995814043586564,2016-04-12 21:09:13,2,"b""Bespoke's Paul Hickey on @CNBCFastMoney now.""",neg,0.4338,0.5662,2016-04-13
719995534933680130,2016-04-12 21:08:07,7,b'S&amp;P 500 Energy sector closes above 200-DMA after 566 calendar days below it: https://t.co/T2xCAqGGtC  $XLE $$',neg,0.0064,0.9936,2016-04-13
719970451695484929,2016-04-12 19:28:26,2,b'Start a 14-day free trial now to see brand new analysis of the Energy sector as well as short interest levels: https://t.co/WcY4FxFrGS',pos,0.8232,0.1768,2016-04-13
719943886928347137,2016-04-12 17:42:53,17,b'Chart of the Day: Energy sector set to close above 200-DMA for 1st time in a long time. $XLE https://t.co/b144KOuXEB https://t.co/eMFY0IEyP2',neg,0.3031,0.6969,2016-04-13
719894326587879424,2016-04-12 14:25:57,9,b'This is becoming a pattern. $DIA https://t.co/S8DSDsClOg',pos,0.6365,0.3635,2016-04-13
719891807753084930,2016-04-12 14:15:56,1,"b""Last night's Closer is a must read on education trends and its impact on labor, debt and investment.  Free trial: https://t.co/LBc69nNuKu""",pos,0.958,0.042,2016-04-13
719888568047562752,2016-04-12 14:03:04,2,b'Small business concerns have shifted from cost and quality labor to poor sales. https://t.co/sAaCNRBJ9t https://t.co/P4nYAzX19v',neg,0.0207,0.9793,2016-04-13
719862478730108928,2016-04-12 12:19:23,8,b'Now we have dueling Federal Reserve GDP trackers: New York (1.1%) vs Atlanta (0.1%). https://t.co/yghLLK0LaJ',pos,0.887,0.113,2016-04-13
719639896835649536,2016-04-11 21:34:56,1,b'Start a 14-day Bespoke Institutional trial to sample our Earnings Database.  Great time with earnings season here: https://t.co/RVbMr7UYI4',pos,0.9985,0.0015,2016-04-12
719639579943378944,2016-04-11 21:33:40,7,b'Alcoa $AA has had a rough go on earnings last 5 years. Down following 14 of 21 reports. From our earnings database: https://t.co/XQnB2VRnux',pos,0.535,0.465,2016-04-12
719637700354187265,2016-04-11 21:26:12,4,b'30 year fixed rate mortgage continues to tick lower: https://t.co/tahvpDJG3Y  $SPY $$ https://t.co/wTpTooe6kI',neg,0.0492,0.9508,2016-04-12
719615549639155717,2016-04-11 19:58:11,11,"b'The average stock moves +/-5.3% in reaction to earnings using 10 years of data and 70,000+ earnings reports: https://t.co/qVFyJX7ff4'",pos,0.7115,0.2885,2016-04-12
719612309270851584,2016-04-11 19:45:18,2,b'Nasdaq down 1.25% since its morning high with 15 minutes left in the trading day.  https://t.co/CaS3u918zX',neg,0.2331,0.7669,2016-04-12
719611994438025217,2016-04-11 19:44:03,2,"b""Here's a look at sector beat rates and volatility based on 70,000+ earnings reports over the last ten years: https://t.co/2M2wEZAlij $SPY $$""",pos,0.9401,0.0599,2016-04-12
719606694343479298,2016-04-11 19:23:00,19,"b""Earnings season begins tonight but things don't really kick into gear until later this month.  Reports by day: $$ https://t.co/6FSl1Znm3O""",neg,0.0324,0.9676,2016-04-12
719567579963138048,2016-04-11 16:47:34,3,"b'Notable seasonality data for the next 2 weeks.  See the stats in our Stock Seasonality report, available w/ trial: https://t.co/WcY4FxFrGS'",pos,0.9523,0.0477,2016-04-12
719557872200327168,2016-04-11 16:09:00,3,"b""Under Armour's $UA two main athletes had quite the day on Sunday.  Spieth at Masters and Curry's Warriors tying the win record.""",pos,0.9909,0.0091,2016-04-12
719545363867246592,2016-04-11 15:19:17,7,b'When you type in the ticker MAC on Google Finance it returns a quote for Apple $AAPL https://t.co/o1yS8YWspC',pos,0.858,0.142,2016-04-12
719140637048569856,2016-04-10 12:31:03,1,"b'Brunch Reads: @TimDuy, #panamapapers, tech &amp; finance labor markets, triathalon cheats, economics of musicals &amp; more\nhttps://t.co/5HuJcBCSyR'",neg,0.1786,0.8214,2016-04-11
718812451723218944,2016-04-09 14:46:58,10,"b'Imagine selling mutual fund b/c of its exposure to $VRX, but instead of getting cash you get an auto parts stock. https://t.co/nzEjJjO4FA'",neg,0.256,0.744,2016-04-10
718556750736134145,2016-04-08 21:50:54,3,"b""Here's this week's BESPOKE REPORT newsletter for members (and info for non-members): https://t.co/EbsTAcpU8G https://t.co/N5bHtXYvRf""",neg,0.2622,0.7378,2016-04-09
718551216347811840,2016-04-08 21:28:54,9,b'Notable that the Tech sector made a new 52-week high this week.  From page one of our Weekly Chart Book: https://t.co/6xhRxjbXO2',neg,0.3755,0.6245,2016-04-09
718550947727872000,2016-04-08 21:27:50,19,b'50-days have turned up but 200-days still trending lower.  Onus still on bulls to break market out of downtrend: https://t.co/Y5oxd7mlgi',neg,0.0057,0.9943,2016-04-09
718517699152846848,2016-04-08 19:15:43,3,"b'It wasn\'t a good week if you had ""Consumer"" in the name of your group.  https://t.co/0PwrWcImO2 https://t.co/M5D7ZuxZvG'",pos,0.5285,0.4715,2016-04-09
718500444167733248,2016-04-08 18:07:09,1,"b""Weekly Bespoke Report coming in a few hours. Start a 14 day trial to get it when it's ready. No billing info needed.\nhttps://t.co/Iz6aptf16p""",neg,0.0258,0.9742,2016-04-09
718479987301617665,2016-04-08 16:45:52,10,b'2009 is only other year that crude saw more 5%+ one day gains in first four months of year. https://t.co/clRldvNHDD https://t.co/K8184caAk3',neg,0.4968,0.5032,2016-04-09
718471527776325632,2016-04-08 16:12:15,4,b'Financials are only sector where the spread between positive and negative revisions is more negative now than it was at yr end and 1 yr ago.',neg,0.0888,0.9112,2016-04-09
718465160420159490,2016-04-08 15:46:57,2,b'$QQQ showed weakness early and has now flipped into the red on the day.',pos,0.8762,0.1238,2016-04-09
718461884563918849,2016-04-08 15:33:56,6,"b'Figures that a year after the US Postal Service began relentlessly marketing ""forever"" stamps they lower the price of a 1st class stamp.'",neg,0.2255,0.7745,2016-04-09
718447553222721537,2016-04-08 14:36:59,2,"b'Energy, Materials, Industrials, Financials up big today, while Tech, Health Care, Consumer Discretionary and Staples underperforming.'",pos,0.5237,0.4763,2016-04-09
718431672123920384,2016-04-08 13:33:53,3,"b""Tesla $TSLA is getting mighty close to becoming America's largest car manufacturer: https://t.co/C5Se3VZO7s""",neg,0.4801,0.5199,2016-04-09
718186126557716481,2016-04-07 21:18:10,1,"b""Here's a link to today's Bloomberg segments with @PaulHickey.  Thanks @BloombergTV and @bsurveillance for having us. https://t.co/Rvw67V8Wyb""",pos,0.9255,0.0745,2016-04-08
718185898588905472,2016-04-07 21:17:16,2,"b""ICYMI, here's Bespoke's Paul Hickey on @BloombergTV this morning: https://t.co/Rvw67V8Wyb""",neg,0.3228,0.6772,2016-04-08
718177914748039168,2016-04-07 20:45:32,1,b'Start a Premium or Institutional trial to see our weekly Sector Snapshot - just published for subscribers: https://t.co/RVbMr7UYI4',pos,0.7896,0.2104,2016-04-08
718177660766142467,2016-04-07 20:44:32,13,b'S&amp;P 500 NOT overbought for the first time since March 10th.  Just 3 of 10 sectors remain overbought: $SPY $$ https://t.co/fMa15zWyuw',neg,0.0196,0.9804,2016-04-08
718164547610218498,2016-04-07 19:52:25,2,"b""Here's a link to the audio and visual of today's webinar.  Must be a member for access, so sign up if you're not!  https://t.co/K6oFGZGE9I""",neg,0.0518,0.9482,2016-04-08
718150533626855424,2016-04-07 18:56:44,8,"b'Remember the 3-D printing stock craze?  After falling 93% over last 2 years, $DDD is up 170% since low on 1/20: https://t.co/5PaHM8GJcS'",neg,0.1681,0.8319,2016-04-08
718149171123986432,2016-04-07 18:51:19,24,"b'Tesla $TSLA has already seen a 40% decline and 85% rally this year, up 18% YTD. One of the crazier charts out there: https://t.co/Z88ifieySi'",pos,0.6839,0.3161,2016-04-08
718135254054264833,2016-04-07 17:56:01,2,"b""Thanks to all who joined our Q2 outlook webinar this morning! We'll be posting the slide-deck and audio for members. https://t.co/FYM8q5qMRS""",neg,0.3466,0.6534,2016-04-08
718109843501031424,2016-04-07 16:15:03,4,b'These are the most volatile S&amp;P 500 stocks on earnings: https://t.co/DmKybu72jK  $NFLX $FSLR $FB $CMG $CRM $AMZN $PCLN $TRIP $KORS $$',pos,0.8097,0.1903,2016-04-08
718065263665614848,2016-04-07 13:17:54,10,"b'""Great Recession is still front and center in people\xe2\x80\x99s minds, and the instinct to run for the exit may continue to be strong."" - Dimon $JPM'",pos,0.9997,0.0003,2016-04-08
718053222208897024,2016-04-07 12:30:03,5,b'US initial jobless claims 267k vs 270k expected and 276k prev.',pos,0.6209,0.3791,2016-04-08
717829429469249536,2016-04-06 21:40:47,6,"b'""So you\'re telling me there\'s a chance."" Best day for Valeant since Oct 2004. 12 more days like that and the stock will be at new highs.$VRX'",neg,0.2448,0.7552,2016-04-07
